PASSENGERS,FREIGHT,UNIQUE_CARRIER_NAME,DEST_CITY_NAME,YEAR,MONTH
0.00,0.00,Air Transport International,"Wilmington, OH",2020,5
0.00,0.00,Air Transport International,"Wilmington, OH",2020,10
0.00,0.00,Air Wisconsin Airlines Corp,"Rochester, NY",2020,4
0.00,0.00,Ameristar Air Cargo,"Albany, NY",2020,5
0.00,0.00,Ameristar Air Cargo,"Buffalo, NY",2020,7
0.00,0.00,Ameristar Air Cargo,"Detroit, MI",2020,5
0.00,0.00,Ameristar Air Cargo,"Detroit, MI",2020,12
0.00,0.00,Ameristar Air Cargo,"East Farmingdale, NY",2020,12
0.00,0.00,Ameristar Air Cargo,"Lawrenceville, GA",2020,6
0.00,0.00,Ameristar Air Cargo,"Niagara Falls, NY",2020,11
0.00,0.00,Ameristar Air Cargo,"Rochester, NY",2020,11
0.00,0.00,Ameristar Air Cargo,"Salina, KS",2020,11
0.00,0.00,Atlas Air Inc.,"Fairfield, CA",2020,9
0.00,0.00,Atlas Air Inc.,"Jacksonville, FL",2020,12
0.00,0.00,Atlas Air Inc.,"Marana, AZ",2020,11
0.00,0.00,Atlas Air Inc.,"Memphis, TN",2020,12
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,2
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,3
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,4
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,5
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,6
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,7
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,8
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,9
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,10
0.00,0.00,Atlas Air Inc.,"Miami, FL",2020,11
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,1
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,2
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,5
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,9
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,10
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,10
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,11
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,12
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,12
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,12
0.00,0.00,Atlas Air Inc.,"New York, NY",2020,12
0.00,0.00,Atlas Air Inc.,"Rochester, NY",2020,2
0.00,0.00,Atlas Air Inc.,"Rochester, NY",2020,6
0.00,0.00,Atlas Air Inc.,"Washington, DC",2020,3
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Boston, MA",2020,10
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Brunswick, GA",2020,7
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Charlotte, NC",2020,1
0.00,0.00,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Charlotte, NC",2020,12
