PASSENGERS,FREIGHT,UNIQUE_CARRIER_NAME,DEST_CITY_NAME,YEAR,MONTH
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Fort Lauderdale, FL",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Harrisburg, PA",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Hartford, CT",2022,7
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Hartford, CT",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Islip, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Laconia, NH",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Martha's Vineyard, MA",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Midland/Odessa, TX",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Monticello, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Muscle Shoals, AL",2022,5
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Nantucket, MA",2022,7
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Nashville, TN",2022,4
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Nashville, TN",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Nashville, TN",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"New Haven, CT",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"New York, NY",2022,5
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"New York, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Ogdensburg, NY",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Omaha, NE",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Orlando, FL",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Oxford, MS",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Panama City, FL",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Philadelphia, PA",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Philadelphia, PA",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Philadelphia, PA",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Philadelphia, PA",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Philadelphia, PA",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Placida, FL",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Plattsburgh, NY",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Plattsburgh, NY",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Pontiac, MI",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Schenectady, NY",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,2
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,2
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Smyrna, TN",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Syracuse, NY",2022,5
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Syracuse, NY",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,2
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,6
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Teterboro, NJ",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Washington, DC",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Washington, DC",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Washington, DC",2022,5
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Westhampton, NY",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Westhampton, NY",2022,8
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Westhampton, NY",2022,9
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Westhampton, NY",2022,10
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Westhampton, NY",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"Westhampton, NY",2022,12
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,1
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,2
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,2
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,2
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,3
0,0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,"White Plains, NY",2022,4
